time ,vals ,flag ,type
736014,0.1,0,1
736015,8.9,0,1
736016,0.7,0,1
736034,2.5,7,2
736035,0.7,7,1
736051,0.1,7,2
736066,0.6,7,1
736070,0.8,7,2
736222,0.1,7,2
736264,6,0,1
736265,12,0,1
736266,3.5,0,1
736310,1.2,0,1
736311,0.3,7,2
736312,1,7,2
736327,0.2,7,2
736337,2,0,1
736352,0.2,7,1
736355,0.1,7,1
736356,0.1,7,2
736367,1.5,7,1
736381,0.1,7,1
736382,0.2,7,1
736415,8.9,0,2
736430,0.7,7,2
736432,1.6,7,1
736433,2.2,7,1
736630,2,0,2
736683,1.5,0,2
736687,9.2,0,2
736688,0.3,0,1
736691,0.5,0,1
736723,0.1,0,1
736726,0.1,0,1
736742,6,0,1
736754,1.2,0,2
736764,13.1,0,2
736798,1.2,0,1
736996,0.1,0,1
737020,0.1,0,1
737035,0.2,0,1
737064,0.1,0,1
737065,0.1,0,1
737066,1.7,0,1
737079,0.6,0,1
737085,0.7,0,1
737103,6.9,0,1
737107,3.7,0,2
737108,0.7,0,1
737112,0.3,0,2
737113,2.1,0,2
737114,1.8,0,2
737116,1.6,0,1
737117,0.9,0,2
737147,0.6,0,2
737175,6.4,0,1
737176,17.6,0,1
737187,3.1,0,1
